Thuat_ngu_phap_ly_chuan,Tu_ngu_thong_thuong
điều khiển xe,điều khiển xe
giấy phép lái xe,giấy phép lái xe
quy định tại điểm,quy định tại điểm
điều khiển phương tiện,điều khiển phương tiện
thực hiện hành vi vi phạm,thực hiện hành vi vi phạm
vi phạm hành chính,vi phạm hành chính
điểm giấy phép,điểm giấy phép
điểm giấy phép lái xe,điểm giấy phép lái xe
hành vi vi phạm sau đây,hành vi vi phạm sau đây
hành vi quy định,hành vi quy định
quy định tại khoản,quy định tại khoản
vi phạm quy định tại điểm,vi phạm quy định tại điểm
thực hiện hành vi quy định,thực hiện hành vi quy định
trừ điểm giấy phép lái xe,trừ điểm giấy phép lái xe
thực hiện hành vi vi phạm quy định,thực hiện hành vi vi phạm quy định
hành vi quy định tại điểm,hành vi quy định tại điểm
phương tiện thực hiện hành vi vi phạm,phương tiện thực hiện hành vi vi phạm
hình thức xử phạt,hình thức xử phạt
trực tiếp điều khiển phương tiện,trực tiếp điều khiển phương tiện
quy định tại điều,quy định tại điều
đồng đối với người điều khiển,đồng đối với người điều khiển
đối với người điều khiển xe,đối với người điều khiển xe
điều khiển xe thực hiện,điều khiển xe thực hiện
chủ phương tiện,chủ phương tiện
áp dụng hình thức xử phạt,áp dụng hình thức xử phạt
điều khiển xe ô tô,điều khiển xe ô tô
vi phạm quy định tại khoản,vi phạm quy định tại khoản
sử dụng giấy phép,sử dụng giấy phép
giấy phép chứng chỉ hành nghề,giấy phép chứng chỉ hành nghề
đúng quy định,đúng quy định
xử phạt vi phạm hành chính,xử phạt vi phạm hành chính
tước quyền sử dụng giấy phép,tước quyền sử dụng giấy phép
quy định tại điểm a điểm,quy định tại điểm a điểm
hình thức xử phạt người điều khiển,hình thức xử phạt người điều khiển
quy định tại điểm a khoản,quy định tại điểm a khoản
điều khiển xe thực hiện một,điều khiển xe thực hiện một
xử phạt theo quy định,xử phạt theo quy định
là người trực tiếp điều khiển,là người trực tiếp điều khiển
hành vi quy định tại khoản,hành vi quy định tại khoản
bị xử phạt theo quy định,bị xử phạt theo quy định
giấy phép lưu hành,giấy phép lưu hành
thì bị xử phạt,thì bị xử phạt
hành vi vi phạm hành chính,hành vi vi phạm hành chính
xử phạt người điều khiển phương tiện,xử phạt người điều khiển phương tiện
đại diện điều khiển,đại diện điều khiển
hoặc trực tiếp điều khiển,hoặc trực tiếp điều khiển
phương tiện hoặc để,phương tiện hoặc để
hoặc trực tiếp điều khiển phương tiện,hoặc trực tiếp điều khiển phương tiện
đối với hành vi vi phạm,đối với hành vi vi phạm
làm công người đại diện điều khiển,làm công người đại diện điều khiển
đại diện điều khiển phương tiện,đại diện điều khiển phương tiện
giao phương tiện hoặc để,giao phương tiện hoặc để
giao phương tiện,giao phương tiện
đại diện điều khiển phương tiện thực hiện,đại diện điều khiển phương tiện thực hiện
trực tiếp điều khiển phương tiện thực hiện,trực tiếp điều khiển phương tiện thực hiện
trường hợp chủ phương tiện,trường hợp chủ phương tiện
đưa phương tiện,đưa phương tiện
tương ứng quy định tại điều,tương ứng quy định tại điều
hành vi vi phạm tương ứng,hành vi vi phạm tương ứng
xe theo quy định,xe theo quy định
vi phạm tương ứng quy định,vi phạm tương ứng quy định
hành vi vi phạm tương ứng quy định,hành vi vi phạm tương ứng quy định
vi phạm tương ứng,vi phạm tương ứng
tương ứng quy định,tương ứng quy định
xử phạt trừ điểm,xử phạt trừ điểm
vi phạm hành chính về trật tự,vi phạm hành chính về trật tự
xử phạt trừ,xử phạt trừ
quy định được phép,quy định được phép
sử dụng giấy phép lái xe,sử dụng giấy phép lái xe
xử phạt trừ điểm giấy phép,xử phạt trừ điểm giấy phép
điều khiển xe chạy,điều khiển xe chạy
phương tiện thì bị xử phạt,phương tiện thì bị xử phạt
điều khiển xe thực hiện hành vi,điều khiển xe thực hiện hành vi
không đúng quy định,không đúng quy định
quy định được phép chở,quy định được phép chở
xử lý vi phạm hành chính,xử lý vi phạm hành chính
giấy phép lái xe 02 điểm,giấy phép lái xe 02 điểm
sử dụng giấy phép chứng chỉ hành nghề,sử dụng giấy phép chứng chỉ hành nghề
chở của phương tiện,chở của phương tiện
trừ hành vi vi phạm,trừ hành vi vi phạm
quyền sử dụng giấy phép chứng chỉ,quyền sử dụng giấy phép chứng chỉ
phép chở của phương tiện,phép chở của phương tiện
phục hồi điểm giấy phép lái xe,phục hồi điểm giấy phép lái xe
đang điều khiển,đang điều khiển
trừ hành vi vi phạm quy định,trừ hành vi vi phạm quy định
phương tiện là người trực tiếp,phương tiện là người trực tiếp
trái quy định,trái quy định
hành vi điều khiển,hành vi điều khiển
phương tiện thiết bị kỹ thuật,phương tiện thiết bị kỹ thuật
không có giấy phép,không có giấy phép
phương tiện vi phạm,phương tiện vi phạm
điều khiển xe trên đường,điều khiển xe trên đường
xử phạt bổ sung,xử phạt bổ sung
lái xe của người điều khiển,lái xe của người điều khiển
hình thức xử phạt bổ sung,hình thức xử phạt bổ sung
chạy quá tốc độ,chạy quá tốc độ
đối với loại phương tiện,đối với loại phương tiện
tịch thu phương tiện,tịch thu phương tiện
quá quy định,quá quy định
tổ chức thực hiện hành vi vi phạm,tổ chức thực hiện hành vi vi phạm
hành vi điều khiển xe,hành vi điều khiển xe
điều khiển xe mô tô,điều khiển xe mô tô
vượt quá quy định,vượt quá quy định
quy định hoặc làm,quy định hoặc làm
quy định của pháp luật,quy định của pháp luật
vi phạm còn bị áp dụng,vi phạm còn bị áp dụng
quy định hoặc làm sai lệch,quy định hoặc làm sai lệch
loại phương tiện,loại phương tiện
chạy quá tốc độ quy định,chạy quá tốc độ quy định
để vi phạm,để vi phạm
quy định tại các điểm,quy định tại các điểm
đèn tín hiệu,đèn tín hiệu
phương tiện được sử dụng,phương tiện được sử dụng
sử dụng để vi phạm,sử dụng để vi phạm
để vi phạm hành chính,để vi phạm hành chính
sử dụng để vi phạm hành chính,sử dụng để vi phạm hành chính
phương tiện được sử dụng để,phương tiện được sử dụng để
loại xe có quy định,loại xe có quy định
xe có quy định,xe có quy định
giảm tốc độ,giảm tốc độ
giao thông theo quy định,giao thông theo quy định
giấy phép lái xe như sau,giấy phép lái xe như sau
hậu quả quy định,hậu quả quy định
biện pháp khắc phục hậu quả quy định,biện pháp khắc phục hậu quả quy định
vi phạm còn bị trừ,vi phạm còn bị trừ
không có tín hiệu,không có tín hiệu
quyết định xử phạt vi phạm,quyết định xử phạt vi phạm
xe thực hiện hành vi vi phạm,xe thực hiện hành vi vi phạm
hơi thở có nồng độ,hơi thở có nồng độ
điểm giấy phép lái xe như,điểm giấy phép lái xe như
khắc phục hậu quả quy định,khắc phục hậu quả quy định
thực hiện đúng quy định,thực hiện đúng quy định
số người quy định,số người quy định
thở có nồng độ,thở có nồng độ
giấy phép lái xe như,giấy phép lái xe như
đối với hành vi điều khiển,đối với hành vi điều khiển
quyết định xử phạt vi phạm hành chính,quyết định xử phạt vi phạm hành chính
quy định trừ,quy định trừ
trừ các hành vi vi phạm,trừ các hành vi vi phạm
cấp giấy phép,cấp giấy phép
đối với chủ phương tiện,đối với chủ phương tiện
quyền sử dụng giấy phép lái xe,quyền sử dụng giấy phép lái xe
điều khiển xe chạy quá,điều khiển xe chạy quá
xe chạy quá tốc độ,xe chạy quá tốc độ
phát tín hiệu,phát tín hiệu
tang vật phương tiện được sử dụng,tang vật phương tiện được sử dụng
xe quy định,xe quy định
quy định tại điều 32,quy định tại điều 32
giấy phép lưu hành còn giá trị sử dụng,giấy phép lưu hành còn giá trị sử dụng
đồng đối với hành vi vi phạm,đồng đối với hành vi vi phạm
cấp giấy phép lái xe,cấp giấy phép lái xe
quá quy định được phép,quá quy định được phép
phương tiện còn bị trừ,phương tiện còn bị trừ
quy định tại điều 26,quy định tại điều 26
xử phạt như,xử phạt như
lại giấy phép,lại giấy phép
đồng đối với hành vi điều khiển,đồng đối với hành vi điều khiển
loại phương tiện đang điều khiển,loại phương tiện đang điều khiển
giấy phép lái xe quốc tế,giấy phép lái xe quốc tế
vụ việc vi phạm,vụ việc vi phạm
quy định tại nghị định,quy định tại nghị định
quy định trong giấy phép,quy định trong giấy phép
đối với hành vi điều khiển xe,đối với hành vi điều khiển xe
phương tiện đang điều khiển,phương tiện đang điều khiển
không giảm tốc độ,không giảm tốc độ
giấy phép lái xe 04 điểm,giấy phép lái xe 04 điểm
giấy phép lái xe 06 điểm,giấy phép lái xe 06 điểm
tín hiệu báo,tín hiệu báo
cá nhân tổ chức vi phạm,cá nhân tổ chức vi phạm
thẩm quyền xử phạt vi phạm,thẩm quyền xử phạt vi phạm
lái xe theo quy định,lái xe theo quy định
thẩm quyền xử phạt vi phạm hành chính,thẩm quyền xử phạt vi phạm hành chính
tín hiệu ưu tiên,tín hiệu ưu tiên
tổ chức vi phạm,tổ chức vi phạm
phương tiện thiết bị kỹ thuật nghiệp vụ,phương tiện thiết bị kỹ thuật nghiệp vụ
xử phạt cá nhân,xử phạt cá nhân
quy định gây tai nạn,quy định gây tai nạn
quy định gây tai nạn giao thông,quy định gây tai nạn giao thông
luật xử lý vi phạm hành chính,luật xử lý vi phạm hành chính
đối với các hành vi vi phạm,đối với các hành vi vi phạm
luật xử lý vi phạm,luật xử lý vi phạm
giải quyết vụ việc vi phạm,giải quyết vụ việc vi phạm
trừ điểm giấy phép lái xe,trừ điểm giấy phép lái xe
do vi phạm,do vi phạm
điều khiển giao thông,điều khiển giao thông
hậu quả quy định tại khoản,hậu quả quy định tại khoản
cơ sở dữ liệu về xử lý vi phạm,cơ sở dữ liệu về xử lý vi phạm
tín hiệu giao thông,tín hiệu giao thông
quy định tại điều 20,quy định tại điều 20
đèn tín hiệu giao thông,đèn tín hiệu giao thông
do vi phạm hành chính,do vi phạm hành chính
xử phạt bổ sung sau,xử phạt bổ sung sau
không thực hiện đúng quy định,không thực hiện đúng quy định
tịch thu tang vật phương tiện,tịch thu tang vật phương tiện
điều khiển xe chở,điều khiển xe chở
điều khiển xe máy,điều khiển xe máy
đúng nơi quy định,đúng nơi quy định
nồng độ cồn vượt quá,nồng độ cồn vượt quá
