Cụm từ pháp lý chuẩn;Từ ngữ thông dụng
điều khiển xe;lái xe, chạy xe, cầm lái
giấy phép lái xe;bằng lái, bằng lái xe, GPLX
quy định tại điểm;theo điểm, căn cứ điểm
điều khiển phương tiện;lái xe, điều khiển xe, cầm lái
thực hiện hành vi vi phạm;mắc lỗi, vi phạm, phạm lỗi
vi phạm hành chính;lỗi vi phạm, bị xử phạt
điểm giấy phép;điểm bằng lái, điểm GPLX
điểm giấy phép lái xe;điểm bằng lái, điểm trên GPLX
hành vi vi phạm sau đây;hành vi vi phạm sau đây, lỗi sau đây
hành vi quy định;hành vi quy định, lỗi quy định
quy định tại khoản;theo khoản, căn cứ khoản
vi phạm quy định tại điểm;vi phạm quy định tại điểm, mắc lỗi theo điểm
thực hiện hành vi quy định;thực hiện hành vi quy định, thực hiện lỗi quy định
trừ điểm giấy phép lái xe;trừ điểm bằng lái, mất điểm bằng lái
thực hiện hành vi vi phạm quy định;thực hiện hành vi vi phạm quy định, thực hiện lỗi quy định
hành vi quy định tại điểm;hành vi quy định tại điểm, lỗi theo điểm
phương tiện thực hiện hành vi vi phạm;phương tiện thực hiện hành vi vi phạm, phương tiện thực hiện lỗi
hình thức xử phạt;mức phạt, cách xử phạt
trực tiếp điều khiển phương tiện;trực tiếp cầm lái, trực tiếp lái xe
quy định tại điều;theo điều, căn cứ điều
đồng đối với người điều khiển;đồng đối với tài xế, người lái
đối với người điều khiển xe;đối với tài xế, người lái xe
điều khiển xe thực hiện;lái xe thực hiện
chủ phương tiện;chủ xe, chủ phương tiện
áp dụng hình thức xử phạt;áp dụng mức phạt, cách phạt
điều khiển xe ô tô;lái xe hơi, lái ô tô
vi phạm quy định tại khoản;mắc lỗi theo khoản
sử dụng giấy phép;dùng bằng lái, xài bằng
giấy phép chứng chỉ hành nghề;bằng cấp chuyên môn, chứng chỉ hành nghề
đúng quy định;đúng luật, đúng quy tắc
xử phạt vi phạm hành chính;phạt vi phạm, xử phạt lỗi
tước quyền sử dụng giấy phép;thu bằng lái, treo bằng, tước bằng
